cuadro,categoria,region,valor
Principales aperturas,"Café, té, yerba y cacao",GBA,0.7000000000000001
Principales aperturas,"Café, té, yerba y cacao",Pampeana,0.8
Principales aperturas,"Café, té, yerba y cacao",Noreste,0.8999999999999999
Principales aperturas,"Café, té, yerba y cacao",Noroeste,0.6
Principales aperturas,"Café, té, yerba y cacao",Cuyo,0.7000000000000001
Principales aperturas,"Café, té, yerba y cacao",Patagonia,0.7000000000000001
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",GBA,2.4
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",Pampeana,2.1
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",Noreste,2.7
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",Noroeste,3.6999999999999997
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",Cuyo,2.3
Principales aperturas,"Aguas minerales, bebidas gaseosas y jugos",Patagonia,2.0
Principales aperturas,Bebidas alcohólicas y tabaco,GBA,3.3000000000000003
Principales aperturas,Bebidas alcohólicas y tabaco,Pampeana,3.8
Principales aperturas,Bebidas alcohólicas y tabaco,Noreste,3.5999999999999996
Principales aperturas,Bebidas alcohólicas y tabaco,Noroeste,3.1
Principales aperturas,Bebidas alcohólicas y tabaco,Cuyo,3.5999999999999996
Principales aperturas,Bebidas alcohólicas y tabaco,Patagonia,3.5000000000000004
Principales aperturas,Bebidas alcohólicas,GBA,1.4000000000000001
Principales aperturas,Bebidas alcohólicas,Pampeana,1.7999999999999998
Principales aperturas,Bebidas alcohólicas,Noreste,2.0
Principales aperturas,Bebidas alcohólicas,Noroeste,1.4000000000000001
Principales aperturas,Bebidas alcohólicas,Cuyo,1.4000000000000001
Principales aperturas,Bebidas alcohólicas,Patagonia,1.4000000000000001
Principales aperturas,Tabaco,GBA,1.9
Principales aperturas,Tabaco,Pampeana,2.0
Principales aperturas,Tabaco,Noreste,1.6
Principales aperturas,Tabaco,Noroeste,1.7999999999999998
Principales aperturas,Tabaco,Cuyo,2.1
Principales aperturas,Tabaco,Patagonia,2.1
Principales aperturas,Prendas de vestir y calzado,GBA,8.5
Principales aperturas,Prendas de vestir y calzado,Pampeana,10.4
Principales aperturas,Prendas de vestir y calzado,Noreste,11.600000000000001
Principales aperturas,Prendas de vestir y calzado,Noroeste,12.4
Principales aperturas,Prendas de vestir y calzado,Cuyo,11.4
Principales aperturas,Prendas de vestir y calzado,Patagonia,12.8
Principales aperturas,Prendas de vestir y materiales,GBA,6.3
Principales aperturas,Prendas de vestir y materiales,Pampeana,7.7
Principales aperturas,Prendas de vestir y materiales,Noreste,8.0
Principales aperturas,Prendas de vestir y materiales,Noroeste,8.4
Principales aperturas,Prendas de vestir y materiales,Cuyo,8.3
Principales aperturas,Prendas de vestir y materiales,Patagonia,9.0
Principales aperturas,Calzado,GBA,2.1999999999999997
Principales aperturas,Calzado,Pampeana,2.8000000000000003
Principales aperturas,Calzado,Noreste,3.5999999999999996
Principales aperturas,Calzado,Noroeste,4.0
Principales aperturas,Calzado,Cuyo,3.1
Principales aperturas,Calzado,Patagonia,3.9
Principales aperturas,"Vivienda, agua, electricidad, gas y otros combustibles",GBA,10.5
Principales aperturas,"Vivienda, agua, electricidad, gas y otros combustibles",Pampeana,8.7
Principales aperturas,"Vivienda, agua, electricidad, gas y otros combustibles",Noreste,8.1
Principales aperturas,"Vivienda, agua, electricidad, gas y otros combustibles",Noroeste,7.000000000000001
Principales aperturas,"Vivienda, agua, electricidad, gas y otros combustibles",Cuyo,8.9
Principales aperturas,"Vivienda, agua, electricidad, gas y otros combustibles",Patagonia,10.100000000000001
Principales aperturas,Alquiler de la vivienda y gastos conexos,GBA,5.800000000000001
Principales aperturas,Alquiler de la vivienda y gastos conexos,Pampeana,3.9
Principales aperturas,Alquiler de la vivienda y gastos conexos,Noreste,2.4
Principales aperturas,Alquiler de la vivienda y gastos conexos,Noroeste,2.0
Principales aperturas,Alquiler de la vivienda y gastos conexos,Cuyo,3.8
Principales aperturas,Alquiler de la vivienda y gastos conexos,Patagonia,5.1
Principales aperturas,Alquiler de la vivienda,GBA,3.5000000000000004
Principales aperturas,Alquiler de la vivienda,Pampeana,3.5999999999999996
Principales aperturas,Alquiler de la vivienda,Noreste,2.1999999999999997
Principales aperturas,Alquiler de la vivienda,Noroeste,1.9
Principales aperturas,Alquiler de la vivienda,Cuyo,3.6999999999999997
Principales aperturas,Alquiler de la vivienda,Patagonia,5.0
Principales aperturas,"Electricidad, gas y otros combustibles",GBA,2.5
Principales aperturas,"Electricidad, gas y otros combustibles",Pampeana,3.0
Principales aperturas,"Electricidad, gas y otros combustibles",Noreste,3.6999999999999997
Principales aperturas,"Electricidad, gas y otros combustibles",Noroeste,3.5999999999999996
Principales aperturas,"Electricidad, gas y otros combustibles",Cuyo,3.3000000000000003
Principales aperturas,"Electricidad, gas y otros combustibles",Patagonia,2.9000000000000004
Principales aperturas,Equipamiento y mantenimiento del hogar,GBA,6.3
Principales aperturas,Equipamiento y mantenimiento del hogar,Pampeana,6.3
Principales aperturas,Equipamiento y mantenimiento del hogar,Noreste,7.8
Principales aperturas,Equipamiento y mantenimiento del hogar,Noroeste,6.1
Principales aperturas,Equipamiento y mantenimiento del hogar,Cuyo,6.3
Principales aperturas,Equipamiento y mantenimiento del hogar,Patagonia,6.5
Principales aperturas,Bienes y servicios para la conservación del hogar,GBA,3.6999999999999997
Principales aperturas,Bienes y servicios para la conservación del hogar,Pampeana,3.8
Principales aperturas,Bienes y servicios para la conservación del hogar,Noreste,3.5999999999999996
Principales aperturas,Bienes y servicios para la conservación del hogar,Noroeste,3.6999999999999997
Principales aperturas,Bienes y servicios para la conservación del hogar,Cuyo,3.6999999999999997
Principales aperturas,Bienes y servicios para la conservación del hogar,Patagonia,3.0
